Cage	Mouse	Day	Weight	Weight_0	Tumor_volume	ECM1_level
3	12	25	24.7	22.9	825.3	21.81694003
3	12	28	25.9	22.9	1299.12	21.81694003
3	12	30	26.2	22.9	1548.42	21.81694003
3	12	32	26.4	22.9	2266.89	21.81694003
3	12	35	na	22.9	2970.71	21.81694003
3	13	14	25	22.7	107.92	11.72030239
3	13	16	25.3	22.7	158.69	11.72030239
3	13	18	25.4	22.7	256.28	11.72030239
3	13	21	26	22.7	426.2	11.72030239
3	13	23	25.7	22.7	636.93	11.72030239
3	13	25	25.2	22.7	817.72	11.72030239
3	13	28	26.2	22.7	1345.99	11.72030239
3	13	30	26.7	22.7	1191.74	11.72030239
3	13	32	27.2	22.7	2654.58	11.72030239
3	13	35	na	22.7	2596.88	11.72030239
4	14	14	24.6	22.6	98.05	13.56428416
4	14	16	24.1	22.6	217.82	13.56428416
4	14	18	24.8	22.6	253.68	13.56428416
4	14	21	25.8	22.6	551.36	13.56428416
4	14	23	25.1	22.6	749.59	13.56428416
4	14	25	24.4	22.6	796.34	13.56428416
4	14	28	25.7	22.6	957.22	13.56428416
4	14	30	24.8	22.6	1274.67	13.56428416
4	14	32	25.5	22.6	2203.42	13.56428416
4	14	35	na	22.6	2302.02	13.56428416
4	15	14	25.3	23	146.91	28.270151
4	15	16	25.4	23	205.1	28.270151
4	15	18	25	23	426.3	28.270151
4	15	21	25.6	23	648.03	28.270151
4	15	23	25.1	23	810.15	28.270151
4	15	25	25.4	23	1038.28	28.270151
4	15	28	26.5	23	1242.76	28.270151
4	15	30	26	23	1572.2	28.270151
4	15	32	26.6	23	2573.71	28.270151
4	15	35	na	23	2354.28	28.270151
4	16	14	25.2	22.4	165.9	25.04223179
4	16	16	25.5	22.4	220.32	25.04223179
4	16	18	25.6	22.4	266.52	25.04223179
4	16	21	26.4	22.4	476.79	25.04223179
4	16	23	26.1	22.4	737.5	25.04223179
4	16	25	25.9	22.4	744.07	25.04223179
4	16	28	26.7	22.4	1148.86	25.04223179
4	16	30	26.2	22.4	1202.16	25.04223179
4	16	32	25.8	22.4	1457.97	25.04223179
4	16	35	na	22.4	2051.72	25.04223179
4	17	14	26.7	25.8	119.02	21.45774082
4	17	16	26.4	25.8	222.86	21.45774082
4	17	18	26.6	25.8	296.22	21.45774082
4	17	21	26.5	25.8	374.57	21.45774082
4	17	23	26.4	25.8	569.94	21.45774082
4	17	25	25.9	25.8	707.12	21.45774082
4	17	28	26.4	25.8	1089.37	21.45774082
4	17	30	25.8	25.8	975.16	21.45774082
4	17	32	26	25.8	1313.6	21.45774082
4	17	35	na	25.8	2153.87	21.45774082
4	18	14	25.2	22.3	137.62	39.04566824
4	18	16	25.1	22.3	267.89	39.04566824
4	18	18	25.4	22.3	369.57	39.04566824
4	18	21	26.2	22.3	381.97	39.04566824
4	18	23	25.9	22.3	834.75	39.04566824
4	18	25	25.4	22.3	617.41	39.04566824
4	18	28	26.7	22.3	1092.62	39.04566824
4	18	30	26.5	22.3	1476.39	39.04566824
4	18	32	26.7	22.3	1869.09	39.04566824
4	18	35	na	22.3	2259.52	39.04566824
5	19	14	23.8	22.8	99.75	5.08465358
5	19	16	23.4	22.8	124.26	5.08465358
5	19	18	24.2	22.8	171	5.08465358
5	19	21	24.6	22.8	186.87	5.08465358
5	19	23	24.4	22.8	331.24	5.08465358
5	19	25	23.5	22.8	487.45	5.08465358
5	19	28	24.9	22.8	580.13	5.08465358
5	19	30	24.1	22.8	641.08	5.08465358
5	19	32	24.8	22.8	780.25	5.08465358
5	19	35	na	22.8	1024.36	5.08465358
5	20	14	23.6	21.9	73.83	9.867789107
5	20	16	23.3	21.9	157.78	9.867789107
5	20	18	23.5	21.9	183.06	9.867789107
5	20	21	23.9	21.9	213.46	9.867789107
5	20	23	23.6	21.9	355.78	9.867789107
5	20	25	22.6	21.9	569.83	9.867789107
5	20	28	24	21.9	985.07	9.867789107
5	20	30	23.1	21.9	644.02	9.867789107
5	20	32	23.5	21.9	987.4	9.867789107
5	20	35	na	21.9	1282.63	9.867789107
5	21	14	25.2	21.7	103.29	12.59660406
5	21	16	25.1	21.7	174.29	12.59660406
5	21	18	25.3	21.7	159.77	12.59660406
5	21	21	25.9	21.7	154.21	12.59660406
5	21	23	25.6	21.7	356.56	12.59660406
5	21	25	24.7	21.7	510.56	12.59660406
5	21	28	25.8	21.7	926.29	12.59660406
5	21	30	25.2	21.7	667.39	12.59660406
5	21	32	25.7	21.7	1048.4	12.59660406
5	21	35	na	21.7	1305.78	12.59660406
5	22	14	23.9	21.3	97.91	7.095552573
5	22	16	24.1	21.3	109.19	7.095552573
5	22	18	24.2	21.3	197.02	7.095552573
5	22	21	25.4	21.3	171.73	7.095552573
5	22	23	24.8	21.3	359.11	7.095552573
5	22	25	24.8	21.3	614.94	7.095552573
5	22	28	25.3	21.3	892.33	7.095552573
5	22	30	24.9	21.3	1115.1	7.095552573
5	22	32	25.3	21.3	1404.71	7.095552573
5	22	35	na	21.3	1532.93	7.095552573
6	23	14	21.3	19.1	81.61	1.21708907
6	23	16	20.7	19.1	84.08	1.21708907
6	23	18	20.9	19.1	132.92	1.21708907
6	23	21	22.2	19.1	238.02	1.21708907
6	23	23	21.8	19.1	313.04	1.21708907
6	23	25	21.7	19.1	254.82	1.21708907
6	23	28	22.3	19.1	435.94	1.21708907
6	23	30	22.3	19.1	639.49	1.21708907
6	23	32	22.1	19.1	891.15	1.21708907
6	23	35	na	19.1	912.6	1.21708907
6	24	14	24.5	22.8	79.87	2.095994555
6	24	16	24.2	22.8	82.5	2.095994555
6	24	18	24	22.8	153.81	2.095994555
6	24	21	25.1	22.8	167.21	2.095994555
6	24	23	24.5	22.8	255.53	2.095994555
6	24	25	24.7	22.8	225.89	2.095994555
6	24	28	25.6	22.8	434.22	2.095994555
6	24	30	25.1	22.8	441.79	2.095994555
6	24	32	25.5	22.8	702.54	2.095994555
6	24	35	na	22.8	501.29	2.095994555
6	25	14	25.3	23.7	75.43	4.80631421
6	25	16	25.4	23.7	96.2	4.80631421
6	25	18	24.8	23.7	110.95	4.80631421
6	25	21	25.8	23.7	124.59	4.80631421
6	25	23	25.2	23.7	144.67	4.80631421
6	25	25	24.9	23.7	116.38	4.80631421
6	25	28	25.1	23.7	238.78	4.80631421
6	25	30	24.8	23.7	247.99	4.80631421
6	25	32	24.9	23.7	251.46	4.80631421
6	25	35	na	23.7	390.83	4.80631421
6	26	14	23.3	21.7	88.17	3.392334562
6	26	16	23	21.7	105.78	3.392334562
6	26	18	23.3	21.7	181.71	3.392334562
6	26	21	24	21.7	219.8	3.392334562
6	26	23	23.6	21.7	343.34	3.392334562
6	26	25	23.2	21.7	394.29	3.392334562
6	26	28	23.9	21.7	556.55	3.392334562
6	26	30	23.4	21.7	605.91	3.392334562
6	26	32	23.4	21.7	925.39	3.392334562
6	26	35	na	21.7	762.84	3.392334562
7	27	14	25.8	22.6	86.55	5.218424714
7	27	16	25.2	22.6	151.41	5.218424714
7	27	18	25.3	22.6	145	5.218424714
7	27	21	25.4	22.6	291.54	5.218424714
7	27	23	24.9	22.6	508.35	5.218424714
7	27	25	24.6	22.6	909.49	5.218424714
7	27	28	25.2	22.6	1194.3	5.218424714
7	27	30	24.6	22.6	1318.85	5.218424714
7	27	32	24.3	22.6	1801.77	5.218424714
7	27	35	na	22.6	2688.86	5.218424714
7	28	14	24.5	22.8	97.98	4.601780041
7	28	16	24	22.8	148.09	4.601780041
7	28	18	23.8	22.8	157.03	4.601780041
7	28	21	24.6	22.8	268.39	4.601780041
7	28	23	24	22.8	412.02	4.601780041
7	28	25	23.7	22.8	915.7	4.601780041
7	28	28	23.9	22.8	961.53	4.601780041
7	28	30	24.5	22.8	1270.08	4.601780041
7	28	32	25	22.8	1755.52	4.601780041
7	28	35	na	22.8	2775.67	4.601780041
7	29	14	25.1	22.8	142.51	1.779282023
7	29	16	25.7	22.8	169.15	1.779282023
7	29	18	25	22.8	199.64	1.779282023
7	29	21	26.1	22.8	358.82	1.779282023
7	29	23	25.7	22.8	503.69	1.779282023
7	29	25	25	22.8	606.52	1.779282023
7	29	28	25.5	22.8	923.56	1.779282023
7	29	30	25.5	22.8	1329.04	1.779282023
7	29	32	26.1	22.8	1620.66	1.779282023
7	29	35	na	22.8	2435.7	1.779282023
7	30	14	22.5	20.3	130.17	1.339453517
7	30	16	22.6	20.3	148.56	1.339453517
7	30	18	22.3	20.3	220.8	1.339453517
7	30	21	23.6	20.3	267.77	1.339453517
7	30	23	23	20.3	363.67	1.339453517
7	30	25	22.8	20.3	685.93	1.339453517
7	30	28	23.2	20.3	906.53	1.339453517
7	30	30	23.9	20.3	1278.53	1.339453517
7	30	32	23.7	20.3	1680.67	1.339453517
7	30	35	na	20.3	2013.35	1.339453517
7	31	14	26.4	25.1	97.75	2.197434664
7	31	16	26.2	25.1	201.75	2.197434664
7	31	18	26.3	25.1	170.84	2.197434664
7	31	21	27.8	25.1	344.24	2.197434664
7	31	23	26.7	25.1	619.29	2.197434664
7	31	25	26.1	25.1	997	2.197434664
7	31	28	26.2	25.1	1392.61	2.197434664
7	31	30	26.8	25.1	1930.25	2.197434664
7	31	32	27	25.1	2447.35	2.197434664
7	31	35	na	25.1	2870.51	2.197434664
8	32	14	24.7	22.7	116.58	1
8	32	16	24.4	22.7	132.78	1
8	32	18	24.8	22.7	208.45	1
8	32	21	25.5	22.7	264.92	1
8	32	23	25.2	22.7	404.36	1
8	32	25	24.6	22.7	485.86	1
8	32	28	25.7	22.7	1024.39	1
8	32	30	25	22.7	973.03	1
8	32	32	25.2	22.7	1714.29	1
8	32	35	na	22.7	1554.65	1
8	33	14	25.1	22.1	70.18	1.272382937
8	33	16	24.9	22.1	100.55	1.272382937
8	33	18	24.6	22.1	83.24	1.272382937
8	33	21	26.4	22.1	70.29	1.272382937
8	33	23	26.3	22.1	84.8	1.272382937
8	33	25	25.5	22.1	102.37	1.272382937
8	33	28	27	22.1	237.98	1.272382937
8	33	30	26	22.1	236.18	1.272382937
8	33	32	25.4	22.1	247.02	1.272382937
8	33	35	na	22.1	460.6	1.272382937
8	34	14	24.8	22.9	90.53	1.666759001
8	34	16	25.3	22.9	218	1.666759001
8	34	18	25.2	22.9	329.18	1.666759001
8	34	21	26.1	22.9	468.79	1.666759001
8	34	23	25.5	22.9	573.18	1.666759001
8	34	25	25.4	22.9	633.31	1.666759001
8	34	28	26.2	22.9	1240.04	1.666759001
8	34	30	25.6	22.9	1535.58	1.666759001
8	34	32	26.4	22.9	2419.09	1.666759001
8	34	35	na	22.9	2874.44	1.666759001
8	35	14	24.9	23.2	76.38	4.123728675
8	35	16	23.9	23.2	150.97	4.123728675
8	35	18	24.3	23.2	164.02	4.123728675
8	35	21	24.7	23.2	212.71	4.123728675
8	35	23	24	23.2	308.01	4.123728675
8	35	25	24.5	23.2	408.07	4.123728675
8	35	28	24.9	23.2	805.1	4.123728675
8	35	30	24.3	23.2	922.21	4.123728675
8	35	32	25	23.2	1345.59	4.123728675
8	35	35	na	23.2	1393.01	4.123728675
8	36	14	23.2	21.3	101.53	4.828372328
8	36	16	23.4	21.3	204.9	4.828372328
8	36	18	24.1	21.3	242.6	4.828372328
8	36	21	24.5	21.3	483.31	4.828372328
8	36	23	24.6	21.3	627.52	4.828372328
8	36	25	24.6	21.3	885.6	4.828372328
8	36	28	25.3	21.3	832.37	4.828372328
8	36	30	25.6	21.3	1765.5	4.828372328
8	36	32	25.4	21.3	2080.56	4.828372328
8	36	35	na	21.3	2350.28	4.828372328
